LOCATION,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
Albany Park,138,98,138,115,160,136,143,195,126,170,111,89
Altgeld,2,0,3,26,8,3,1,3,7,10,2,10
Archer Heights,110,107,113,138,89,99,115,95,151,120,152,170
Austin,19,15,33,31,47,53,36,58,43,84,40,74
Austin-Irving,244,253,254,236,254,250,259,225,280,184,233,141
Avalon,96,123,151,141,98,110,118,159,140,138,165,149
Back of the Yards,33,52,28,74,43,42,59,30,36,31,14,28
Beverly,170,94,72,75,61,53,138,119,119,109,79,92
Bezazian,221,152,238,238,235,190,261,181,227,276,195,170
Blackstone,100,95,87,75,70,92,89,114,96,108,92,127
Brainerd,26,18,14,24,29,25,14,15,26,10,14,15
Brighton Park,167,91,141,101,69,147,122,141,78,121,112,65
Bucktown-Wicker Park,141,109,77,74,108,105,123,114,103,144,132,68
Budlong Woods,135,138,102,147,164,100,171,99,136,119,123,112
Canaryville,47,53,45,33,58,39,44,46,68,53,55,61
Chicago Bee,7,10,7,3,3,2,30,10,5,2,6,15
Chicago Lawn,79,74,82,89,118,37,116,77,81,0,89,73
Chinatown,106,106,121,93,104,119,159,183,86,131,92,151
Clearing,73,77,103,97,92,55,95,73,79,26,45,99
Coleman,24,19,37,28,20,20,29,23,0,16,9,13
"Daley, Richard J.",110,80,159,85,98,94,121,102,116,138,82,60
"Daley, Richard M.",103,123,115,99,121,136,123,105,144,159,136,169
Douglass,0,0,0,0,0,0,0,0,0,0,29,48
Dunning,101,102,187,78,148,142,71,119,185,100,94,178
Edgebrook,266,210,246,220,293,220,294,255,262,238,234,221
Edgewater,413,413,387,372,343,475,510,442,393,429,343,287
Gage Park,19,12,44,5,24,18,39,60,74,73,90,64
Galewood-Mont Clare,64,55,29,27,20,8,25,19,20,47,28,13
Garfield Ridge,448,266,291,249,216,218,273,376,371,286,280,372
Greater Grand Crossing,73,68,50,49,76,69,64,73,78,116,75,56
Hall,18,22,38,35,36,29,50,42,42,52,27,64
Harold Washington Library Center,1703,"1,606",1982,1566,1868,1779,1982,1939,2014,2300,1704,1724
Hegewisch,69,67,72,71,60,115,80,58,84,118,92,94
Humboldt Park,44,53,52,78,46,71,45,57,40,42,36,38
Independence,49,127,159,207,149,184,220,265,273,191,132,129
Jefferson Park,63,0,0,0,0,0,0,0,0,1,29,78
Jeffery Manor,29,17,24,26,28,22,35,48,48,37,51,15
Kelly,46,22,28,21,72,22,28,58,30,78,44,17
King,24,21,28,37,33,17,35,27,18,56,50,28
Legler Regional,70,52,60,60,47,59,118,95,70,12,0,0
Lincoln Belmont,140,145,178,146,151,167,115,171,156,169,145,121
Lincoln Park,331,185,241,203,275,265,235,243,298,224,265,255
Little Italy,40,88,134,138,106,120,136,115,140,163,85,118
Little Village,54,51,54,58,37,52,62,78,42,80,61,55
Logan Square,148,127,146,167,206,198,160,220,241,229,180,197
Lozano,72,69,143,91,48,65,70,72,41,63,43,38
Manning,56,51,51,75,98,80,56,51,100,82,58,81
Mayfair,63,73,90,71,86,80,92,96,77,112,61,48
McKinley Park,68,52,62,48,67,37,52,41,69,93,79,66
Merlo,74,72,0,0,0,0,0,0,0,0,0,0
Mount Greenwood,399,313,312,432,351,263,314,263,233,371,214,179
Near North,271,169,281,190,224,303,305,223,247,260,168,182
North Austin,72,55,78,52,63,33,34,36,52,56,12,65
North Pulaski,67,67,65,73,65,56,73,76,47,89,77,102
Northtown,13,12,205,330,302,321,311,377,314,308,284,303
Oriole Park,94,87,106,95,99,100,129,98,101,86,57,94
Portage-Cragin,138,126,207,71,0,18,204,138,148,94,136,120
Pullman,54,24,73,51,53,34,78,49,26,71,24,45
Roden,243,184,251,271,294,227,298,285,258,234,213,85
Rogers Park,192,226,273,184,170,142,192,185,202,170,175,218
Scottsdale,77,35,51,49,37,39,39,40,66,47,55,34
Sherman Park,39,22,22,23,20,22,38,43,26,34,35,10
South Chicago,67,47,109,58,95,67,41,41,42,31,34,40
South Shore,20,7,0,0,0,0,0,0,0,0,0,1
Sulzer Regional Library,322,326,376,369,338,388,360,386,324,461,400,419
Thurgood Marshall,58,37,55,49,51,43,43,39,44,26,27,51
Toman,99,53,34,74,51,71,88,58,83,90,72,77
Uptown,75,129,151,149,178,190,153,173,116,136,155,186
Vodak-East Side,72,64,79,50,76,71,48,98,92,114,87,41
Walker,31,61,29,52,23,34,34,11,18,25,0,16
West Belmont,55,66,111,111,126,116,114,79,96,133,84,90
West Chicago Avenue,19,12,16,20,12,1,28,14,26,22,23,24
West Englewood,31,35,49,37,66,24,50,56,35,51,39,31
West Lawn,88,59,74,43,75,82,96,98,58,114,83,93
West Loop,39,47,64,90,80,65,67,102,69,62,59,55
West Pullman,61,88,104,105,105,143,114,104,65,88,137,68
West Town,50,33,41,52,50,47,39,59,45,41,34,24
"Whitney M. Young, Jr.",15,25,43,26,26,33,42,34,37,49,23,42
Woodson Regional Library,164,135,167,164,111,100,148,141,165,181,95,130
Wrightwood-Ashburn,61,41,38,30,48,27,28,56,39,35,44,42
