LOCATION,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
Albany Park,10405,10594,11498,10867,10395,11171,11532,11387,11534,11677,9741,9454
Altgeld,2083,2358,2380,2127,2247,2484,2578,2512,2462,2678,2014,2273
Archer Heights,6378,7521,7809,7824,7162,6952,7835,7536,6908,8219,6679,5770
Austin,4878,5391,5655,5378,5178,5895,7399,7962,6299,7604,8128,7713
Austin-Irving,8003,8879,9627,8853,9172,9897,10441,10110,9031,10054,8060,6953
Avalon,7925,8093,8748,11392,8896,7870,9318,9045,8389,10385,7523,7078
Back of the Yards,3382,3235,3990,3864,4310,3670,4447,4243,3801,4173,3007,2867
Beverly,5727,6496,6627,6492,7135,6496,6890,6275,6777,7333,6761,3327
Bezazian,9666,8634,9543,10704,10433,10540,11867,12265,9769,11981,9164,7005
Blackstone,7440,6986,8107,8534,7677,8143,9601,8850,7733,7779,7112,6396
Brainerd,5057,6719,5235,6594,6380,7204,4534,4690,3680,4456,3039,2439
Brighton Park,4444,4593,4480,5680,4161,4514,5194,5142,4223,5799,4107,3349
Bucktown-Wicker Park,10961,10580,13487,10603,8590,10533,11950,11519,9416,10659,10384,9460
Budlong Woods,9917,11174,11358,10868,9672,10735,11979,11038,9372,10725,9318,8893
Canaryville,2614,2956,3515,3195,3186,3617,3931,3467,3130,3435,3129,2748
Chicago Bee,1585,1742,1957,2287,2114,2335,2184,1920,1720,2296,1925,1643
Chicago Lawn,5247,6273,5315,5792,5304,6077,7165,8598,4600,0,0,0
Chinatown,16716,21237,24670,22875,23898,22703,24518,26210,22446,24910,21183,20148
Clearing,4283,5259,5385,5196,4787,4777,6062,5700,4742,185,1552,3740
Coleman,6123,6834,6745,7398,6891,6603,8386,7985,0,4517,6031,6884
"Daley, Richard J.",4550,4650,5042,5536,5059,4988,5952,5590,4853,5618,4720,4105
"Daley, Richard M.",9216,10480,10319,9572,8927,8959,9283,11059,8526,9535,8850,11435
Douglass,0,0,0,0,0,0,0,0,0,0,0,0
Dunning,7777,8684,8650,8425,9254,9519,10353,9049,10065,8865,6802,6816
Edgebrook,7241,8130,8517,8361,7260,8955,9688,9171,7282,8610,7074,6716
Edgewater,11504,17381,19171,20253,15847,16459,18370,17216,15906,17014,14596,13328
Gage Park,2111,1979,2000,2177,2185,2569,3111,2967,2435,3834,2256,2082
Galewood-Mont Clare,1597,1444,1725,2061,1722,1923,3067,1882,1510,1596,1129,807
Garfield Ridge,4500,4904,5803,5559,5099,5850,7855,6865,5307,7239,6105,5042
Greater Grand Crossing,4541,6664,7689,7662,7828,6828,4125,3715,6132,4111,4940,5763
Hall,5040,7987,7226,5947,4439,5110,6350,5452,5026,5833,4891,4583
Harold Washtington Library Center,103099,103013,121131,130849,114792,116673,119738,116332,107200,128546,102895,141696
Hegewisch,3316,3462,3985,3766,3153,2999,3147,2971,2941,3366,2956,2685
Humboldt Park,5224,9661,7993,7773,6737,6220,6957,6630,5617,6141,5104,4489
Independence,1370,6593,7220,6917,5745,7940,7363,7810,6034,6929,6349,4782
Jefferson Park,3918,0,0,0,0,0,0,0,0,0,0,2190
Jeffery Manor,4733,6392,5537,5750,5473,5423,4722,4233,4210,4508,3242,3259
Kelly,4435,4047,4547,4983,5075,5598,7550,6978,5805,6778,4742,4809
King,3695,4217,3618,3429,2261,2438,2503,2578,2107,2298,3362,2684
Legler Regional,6386,6630,7195,6949,7489,4550,11452,11899,9477,0,0,0
Lincoln Belmont,11415,11059,13860,13440,12697,13591,15408,14672,12394,14886,12402,10364
Lincoln Park,9854,13476,14077,11767,9822,10961,12604,11804,10455,11912,10723,9969
Little Italy,0,4816,11303,11381,11304,11502,12663,12261,10363,12198,10555,9705
Little Village,6716,7025,7467,7492,6809,5966,8116,7093,5779,7695,5774,4757
Logan Square,10787,11189,12731,13085,12085,13409,15385,14070,12177,13592,11271,10749
Lozano,10057,9935,10745,12061,9690,9632,10214,10118,9436,11858,10613,9009
Manning,7361,7085,7814,7168,6320,6161,6978,6639,5923,8186,7512,7011
Mayfair,3625,4111,4350,4369,3606,3835,3371,4187,3903,4320,3900,3570
McKinley Park,7154,8242,8220,8226,7968,9138,10614,8844,7834,8637,7739,6630
Merlo,8108,11525,0,0,0,0,0,0,0,0,0,0
Mount Greenwood,4670,4966,4987,5070,5094,5670,6647,3999,2293,3048,2614,2217
Near North,10281,11897,11311,10963,10209,11213,12401,11582,10023,11624,9205,9447
North Austin,3163,2591,2364,3658,3457,3369,4244,4556,3488,4209,3419,3439
North Pulaski,3324,4141,5013,3923,3875,3948,4404,5103,3372,4093,3590,2932
Northtown,0,0,8377,10287,10443,10928,13805,13024,10819,12803,10329,3418
Oriole Park,6053,7235,7352,6842,6241,6540,7478,6484,7282,7216,6509,6597
Portage-Cragin,5687,7332,7091,3696,0,722,6029,5739,4948,3960,5244,4353
Pullman,3919,3820,4214,4370,3626,3985,4783,4638,4086,4430,3803,3696
Roden,4319,11837,10835,6604,4550,5163,5669,5857,4441,5405,4277,1925
Rogers Park,14708,12762,11756,12728,12520,12630,14204,14437,11482,13277,11192,10366
Scottsdale,3407,3639,3388,4375,3744,3481,4237,3922,3503,4085,3692,3041
Sherman Park,3089,3028,3313,3416,3445,3356,4989,4646,3469,4224,3209,2044
South Chicago,6062,6279,7879,6299,6810,6856,6928,7793,7794,7790,6574,6029
South Shore,5613,5077,0,0,0,0,0,0,0,0,0,0
Sulzer Regional Library,24368,23998,32223,30983,37357,29641,33583,32266,29043,29043,30883,25256
Thurgood Marshall,5148,5317,7870,3967,6344,6597,7460,7055,5982,10479,6336,5654
Toman,6426,6954,7849,8025,6567,7071,10676,9234,7270,9047,5027,4428
Uptown,2827,8495,11025,11894,12081,11212,12847,12931,11159,12083,10504,9632
Vodak-East Side,4782,5306,5703,4964,4831,4973,6037,4992,4643,6519,4837,2900
Walker,2885,2896,3418,3325,3725,4001,3941,3563,3268,1731,0,0
West Belmont,2099,6107,6601,6253,5345,5968,6061,5570,4909,5503,4104,3723
West Chicago Avenue,5513,5723,6113,5361,5921,1505,7290,7584,7329,8804,6452,6109
West Englewood,5708,5481,5904,5717,5555,5780,6270,6818,5744,6739,4684,4843
