LOCATION,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
Albany Park,4274,3486,5170,4864,4561,5711,5983,5675,5603,5699,5370,5238
Altgeld,127,81,156,173,146,153,206,248,171,146,173,154
Archer Heights,1852,1587,1858,1791,1842,2328,2847,2538,2395,2579,2574,2129
Austin,680,626,667,549,565,682,581,512,625,611,563,447
Austin-Irving,4715,4232,5796,4717,5354,6140,6020,5749,5311,5480,4718,4702
Avalon,1342,1099,1241,1264,1368,1378,1242,1432,1589,1476,1355,1217
Back of the Yards,856,647,1070,1006,943,1090,1241,1179,1073,1363,1032,916
Beverly,2827,2245,2868,2782,2869,3118,3637,3196,3080,3177,3395,2655
Bezazian,162,1265,5408,5055,5312,5845,6276,5696,5540,5640,5614,5260
Blackstone,6012,5296,6948,6582,6980,7013,7787,7423,6576,6929,6932,6279
Brainerd,311,349,501,60,85,278,197,280,277,337,314,332
Brighton Park,1491,1090,1704,1471,1525,1643,1914,1551,200,26,1170,1172
Bucktown-Wicker Park,7291,6310,7795,7504,7660,8099,8006,7335,7450,7997,7550,6710
Budlong Woods,5277,4665,5837,5800,5365,6208,6639,6571,5725,5829,6116,5854
Canaryville,0,0,0,0,0,0,131,869,1042,969,941,935
Chicago Bee,595,582,506,610,594,704,634,726,777,865,777,521
Chicago Lawn,1111,902,1264,1184,1452,1661,2000,1634,1509,1895,1563,1380
Chinatown,3460,2654,4009,3597,4333,4730,5682,5269,5466,5500,5240,4414
Clearing,1667,1262,1465,1517,1579,2025,2072,1754,1714,1696,1830,1603
Coleman,836,716,883,657,1013,766,1205,1110,1147,1024,988,812
"Daley, Richard J.- Bridgeport",4034,3152,3647,3708,3555,3532,3910,864,0,0,0,0
"Daley, Richard M.- W Humboldt",1541,1477,1455,1499,1246,1309,1321,1335,1221,1432,1458,989
Douglass,366,273,347,318,393,475,389,410,543,517,358,463
Dunning,3229,2701,3431,3092,3034,3721,3820,3373,3073,3151,3008,2564
Edgebrook,6378,5498,6690,6451,5971,6744,7849,7082,6354,6003,6511,5137
Edgewater,11193,10185,11125,10500,10898,11595,11650,10854,10376,10137,9685,9539
Gage Park,0,0,0,0,0,0,18,545,423,669,608,510
Galewood-Mont Clare,0,0,0,0,0,0,0,0,0,0,0,0
Garfield Ridge,2437,2449,3093,2500,2628,3348,3691,2723,2893,3099,2593,2273
Greater Grand Crossing,336,376,428,398,460,462,307,0,377,627,596,498
Hall,6,162,418,469,525,616,712,691,671,632,684,583
Harold Washington Library Center,20965,18837,21898,21220,22635,25011,24932,24348,24256,23970,22693,21046
Hegewisch,823,775,1004,960,948,1118,1117,1049,1080,1055,885,701
Humboldt Park,3107,2961,3211,2867,3014,3000,3394,2893,3263,3164,2962,2813
Independence,5069,4572,5989,5474,5372,6068,6791,6559,5961,6320,6091,5281
Jefferson Park,3868,3332,4559,4174,4175,4866,5573,5385,4925,5395,5085,4116
Jeffery Manor,267,178,284,260,41,102,272,326,348,303,464,360
Kelly,323,268,303,270,274,332,355,533,399,439,470,368
King,845,804,930,900,976,1201,1344,1029,1217,1110,1189,1159
Legler Regional,344,234,421,420,488,466,479,566,435,458,454,461
Lincoln Belmont,9936,8912,11336,10740,10787,12202,11856,11427,10767,10886,10992,9308
Lincoln Park,8658,7667,9869,9269,9727,10208,10190,10048,9936,9856,10238,8933
Little Italy,3978,3273,4237,3465,3835,4460,4906,4461,3842,3865,3896,3575
Little Village,1041,924,1280,1157,1223,1395,1829,1318,1478,1443,1541,1138
Logan Square,7374,7246,8600,8373,8623,9533,9856,9227,9132,9220,9424,8686
Lozano,1823,1760,2210,1829,2177,2305,2255,2355,2314,2112,2109,1859
Manning,0,0,0,0,0,0,0,7,171,547,620,530
Mayfair,2396,1917,2867,2457,2364,2265,2615,2504,2627,2498,2602,2120
McKinley Park,127,1592,2512,2222,2405,2677,3123,3733,4041,3706,3705,3076
Merlo,7473,7031,7944,8022,8035,8101,8093,8334,8640,8994,7904,7565
Mount Greenwood,3330,2750,3261,3392,3230,3845,3746,3663,3176,2951,2862,2862
Near North,7399,6872,7910,7329,8085,8318,8412,7284,6777,6853,6639,5610
North Austin,610,472,549,523,547,497,644,647,564,638,395,498
North Pulaski,876,614,783,720,1020,974,1002,1017,1025,1213,1112,855
Northtown,9320,8239,9846,8881,9253,10035,10412,9839,8712,9200,8452,8037
Oriole Park,4375,3797,4725,4339,4386,5128,5511,4719,4630,5156,4850,4575
Portage-Cragin,3040,2903,3681,3430,3641,3450,3855,3481,3766,3612,3238,3057
Pullman,222,288,271,302,325,335,342,357,324,365,468,353
Roden,3850,3744,4532,3523,4199,4403,4971,4548,3874,4435,4010,3480
Rogers Park,4582,6311,6404,6489,5983,6257,7070,6453,6383,6528,6449,6002
Scottsdale,984,896,1185,1091,975,1028,1348,1222,1274,1474,1419,1285
Sherman Park,158,199,204,140,174,199,273,253,189,173,159,197
South Chicago,154,291,628,605,564,721,875,963,861,656,640,738
South Shore,687,694,893,902,929,1153,1292,1038,975,941,975,927
Sulzer Regional Library,22742,20954,24275,23702,23039,25051,24576,24156,23213,23756,24048,21671
Thurgood Marshall,723,659,728,633,638,611,758,753,771,723,869,651
Toman,1746,1562,2159,1766,1677,1895,2070,1829,2640,2503,2187,1636
Uptown,6972,5496,5671,5047,5163,5812,6126,5643,5797,5623,5343,4768
Vodak-East Side,1091,1109,1550,1497,1259,1681,2009,1603,1818,1882,1573,1554
Walker,800,705,850,803,815,953,1098,914,880,1060,891,772
West Belmont,2877,2234,3398,2727,2518,3090,3322,3186,3356,3192,3037,2618
West Chicago Avenue,155,173,135,111,161,201,225,270,337,346,310,260
West Englewood,355,309,238,318,231,332,310,310,345,504,390,254
West Lawn,1174,1010,1538,1243,1428,629,13,0,0,0,0,0
West Loop,3468,3130,3701,3830,3727,4043,4209,4126,3823,4057,3845,3547
West Pullman,562,344,591,539,581,493,735,682,637,835,668,694
West Town,3631,3003,3596,3508,3787,3361,3725,4217,4401,4087,4280,3868
"Whitney M. Young, Jr.",601,441,585,611,783,813,668,843,936,744,572,545
Woodson Regional Library,2020,1681,1909,2071,1939,1589,2162,2056,2173,2220,1872,1636
Wrightwood-Ashburn,597,0,447,486,606,791,679,746,740,755,833,607
