LOCATION,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
Albany Park,479,436,637,596,567,655,813,1043,950,885,922,855
Altgeld,151,114,250,305,400,680,747,970,818,681,862,741
Archer Heights,500,402,626,546,533,563,693,695,697,688,668,612
Austin,645,532,733,684,663,745,783,841,770,779,772,607
Austin-Irving,325,318,453,379,447,516,512,541,477,515,424,516
Avalon,885,786,630,986,1035,1072,1187,1250,1261,1328,1303,1159
Back of the Yards,287,301,399,339,395,413,456,465,470,527,447,458
Beverly,408,317,425,435,493,435,576,656,579,670,764,745
Bezazian,14,131,628,658,737,778,940,1047,1047,1002,1071,1089
Blackstone,554,461,624,651,722,715,934,966,893,854,828,761
Brainerd,310,291,397,32,105,289,292,375,353,359,305,334
Brighton Park,354,288,455,413,327,382,429,476,65,0,353,468
Bucktown-Wicker Park,394,344,475,455,499,496,602,673,555,582,576,568
Budlong Woods,565,461,738,681,652,611,683,766,687,790,762,756
Canaryville,0,0,0,0,0,0,27,186,274,241,266,260
Chicago Bee,331,306,373,386,421,362,356,443,484,505,450,481
Chicago Lawn,518,478,756,701,672,755,873,1087,846,846,817,779
Chinatown,578,577,746,775,853,918,1107,1275,1260,1175,1184,1023
Clearing,288,263,334,337,360,372,412,503,388,457,449,412
Coleman,770,686,947,936,949,948,933,1022,983,1115,1080,1002
"Daley, Richard J. -Bridgeport",535,471,535,539,579,547,600,141,0,0,0,0
"Daley, Richard M. -W. Humboldt",727,731,917,784,887,911,965,1039,987,999,855,949
Douglass,417,343,547,497,456,585,601,685,693,781,829,776
Dunning,429,406,582,499,483,538,758,896,854,793,691,516
Edgebrook,242,166,282,308,292,313,270,321,262,258,261,293
Edgewater,1106,1003,1267,1277,1384,1493,1644,1683,1614,1602,1712,1544
Gage Park,0,0,0,0,0,0,0,4,139,132,129,186
Galewood-Mont Clare,0,0,0,0,0,0,0,0,0,0,0,0
Garfield Ridge,377,293,479,472,437,405,437,434,427,439,493,513
Greater Grand Crossing,467,372,532,481,509,503,285,0,367,550,565,503
Hall,0,105,389,493,492,512,564,607,675,673,596,456
Harold Washington Library Center,4392,4036,5292,5124,5405,5684,5811,6276,5992,5929,7388,7983
Hegewisch,270,211,306,274,252,270,289,253,288,281,329,300
Humboldt Park,459,379,487,553,556,626,753,840,658,590,703,629
Independence,430,390,561,493,573,590,599,660,731,716,700,616
Jefferson Park,501,444,625,655,647,664,686,816,720,752,854,815
Jeffery Manor,336,261,406,420,89,99,411,537,419,427,462,416
Kelly,399,273,470,408,418,451,538,574,564,544,583,562
King,715,575,785,771,733,760,830,841,912,837,853,816
Legler Regional,318,330,526,437,586,578,703,772,971,949,929,752
Lincoln Belmont,308,334,468,513,537,620,617,686,640,606,502,560
Lincoln Park,454,396,554,495,593,529,626,644,630,639,782,673
Little Italy,362,248,435,372,455,473,560,615,714,658,639,581
Little Village,504,431,606,535,527,557,629,661,587,722,680,596
Logan Square,780,685,977,965,860,916,1016,994,1041,1071,1066,1112
Lozano,622,638,849,833,767,721,817,858,847,917,1061,1007
Manning,0,0,0,0,0,0,1,2,90,334,356,462
Mayfair,205,181,333,306,303,277,331,419,330,346,417,331
McKinley Park,18,206,342,343,335,380,374,491,570,521,477,463
Merlo,512,455,574,673,685,778,863,855,853,888,875,855
Mount Greenwood,372,292,417,357,369,334,344,498,415,231,430,353
Near North,340,302,435,462,538,632,770,807,851,876,827,837
North Austin,457,310,508,464,444,436,475,566,531,524,513,464
North Pulaski,297,248,435,342,338,383,387,446,438,451,425,406
Northtown,1024,814,1195,1136,1258,1353,1433,1430,1348,1368,1207,1227
Oriole Park,452,398,510,477,497,480,468,487,416,510,664,553
Portage-Cragin,641,590,841,835,709,746,824,859,897,876,933,807
Pullman,311,370,472,495,517,555,570,556,602,662,714,618
Roden,236,207,274,285,236,310,346,392,355,335,317,358
Rogers Park,459,498,794,725,747,876,1292,1389,1316,1388,1367,1376
Scottsdale,318,336,423,393,451,439,508,541,467,549,554,516
Sherman Park,234,212,299,316,313,298,328,401,382,391,357,388
South Chicago,170,375,611,558,648,679,818,904,985,720,945,798
South Shore,683,579,849,914,928,967,967,1202,1137,1141,1240,1006
Sulzer Regional Library,1468,1276,1797,1759,1980,2068,1900,2297,2062,1974,2254,2103
Thurgood Marshall,689,647,908,840,867,884,852,1122,1112,1048,1031,989
Toman,670,566,754,775,710,732,768,802,731,676,655,704
Uptown,581,479,604,578,668,866,912,1054,1164,1230,1286,1214
Vodak-East Side,423,370,559,515,506,530,564,674,590,692,581,659
Walker,170,116,228,208,209,222,223,236,287,308,317,292
West Belmont,345,294,396,385,375,405,418,543,528,526,589,423
West Chicago Avenue,417,330,460,422,450,465,475,538,617,664,613,568
West Englewood,391,345,515,434,467,492,520,612,624,581,625,392
West Lawn,419,337,462,509,453,202,286,0,0,0,0,0
West Loop,123,116,190,215,208,197,874,322,233,205,239,257
West Pullman,755,594,841,761,738,816,496,971,943,913,897,795
West Town,398,289,506,529,502,550,1344,590,671,642,648,607
"Whitney M. Young, Jr.",934,789,1141,1145,1199,1160,2,1545,1360,1451,1406,1330
Woodson Regional Library,1886,1771,2436,2329,2277,2249,2313,2794,2663,2644,2679,2525
Wrightwood-Ashburn,365,0,358,425,477,436,438,434,462,501,529,517
